(2021-09-03 14:05:18 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select 退役报废文件号,调拨凭证号,'-' as 箱装单号,装备代码,装备名称,单装编号,出厂时间,装备时间,出库状态,记录时间 from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%' and 装备名称 like '%%' and 单装编号 like '%%'"
(2021-09-03 14:21:38 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.UserTable where 姓名 = '123' and 军官证号 = '123'"
(2021-09-03 14:21:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = '21' and 调拨凭证号 = '1242' and 装备代码 = '342'"
(2021-09-03 14:21:48 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.SinglePackedTable values('21','1242','342','234235','','','4354','54645','1900-1-1','1900-1-1','未出库','2021-1-1')"
(2021-09-03 14:21:51 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:22:32 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = '21234' and 调拨凭证号 = '1242234' and 装备代码 = '342242'"
(2021-09-03 14:22:32 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.SinglePackedTable values('21234','1242234','342242','234235234','','','435432','54645423','2001-1-3','2021-1-6','未出库','2021-1-1')"
(2021-09-03 14:22:35 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 like '%%' and 调拨凭证号 like '%%' and 装备代码 like '%%'"
(2021-09-03 14:25:05 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "select * from GunManager.dbo.SinglePackedTable where 退役报废文件号 = 'test1' and 调拨凭证号 = 'test11' and 装备代码 = 'test111'"
(2021-09-03 14:25:05 周五)          Debug: File:(d:\documents\smartmoreitem\gunmanagementsystem1\gunmanagementsystem\gunmanagementsystem\ui\systemmanager\databaseoperator.cpp) Line:(88) exec sql: "insert GunManager.dbo.SinglePackedTable values('test1','test11','test111','test1111','','','test11111','test111111','2000-1-3','2021-5-20','未出库','2021-1-1')"
